Id,FieldId,Name,UploadDate,UserId,IsDeleted,LockedBySystem,GrownWeed
2,2,April 15,2015-04-10 15:06:29.830,,False,False,False
3,3,Forår,2015-04-13 10:35:40.000,,False,False,False
4,4,April,2015-04-24 11:56:02.027,,False,False,False
5,5,forår-vårbyg,2015-04-30 12:59:24.867,,False,False,False
6,6,forår-vårbyg,2015-04-30 13:04:17.417,,False,False,False
7,6,forår-vårbyg,2015-04-30 13:10:26.527,,False,False,False
8,7,byg,2015-04-30 15:02:13.397,,False,False,False
9,8,byg,2015-04-30 15:03:48.610,,False,False,False
10,9,Test 04-05,2015-05-04 08:41:16.533,,False,False,False
11,10,6 maj,2015-05-06 14:27:09.783,,False,False,False
12,11,6 maj,2015-05-06 14:31:29.450,,False,False,False
13,12,6 maj Skjern,2015-05-07 11:13:22.140,,False,False,False
14,13,6 maj Skjern,2015-05-07 11:16:24.810,,False,False,False
15,15,6 maj Skjern,2015-05-07 11:19:12.590,,False,False,False
16,16,6 maj Skjern,2015-05-07 11:20:45.683,,False,False,False
17,17,maj_12,2015-05-12 13:23:56.797,,False,False,False
18,18,13 maj,2015-05-13 11:59:57.977,,False,False,False
19,19,Vaarbyg_ATVoptagelse,2015-05-16 02:10:50.077,,False,False,False
20,20,Vaarbyg_ATVoptagelse,2015-05-16 02:14:23.213,,False,False,False
21,21,Vaarbyg_ATVoptagelse,2015-05-16 02:18:00.903,,False,False,False
22,22,Vårbyg 18. maj,2015-05-18 14:40:27.950,,False,False,False
23,23,Majs 18. maj,2015-05-18 14:46:25.167,,False,False,False
24,24,Majs 18. maj,2015-05-18 14:52:30.933,,False,False,False
25,25,Majs 18. maj,2015-05-18 14:57:04.310,,False,False,False
26,26,Majs 18. maj,2015-05-18 15:01:18.840,,False,False,False
27,27,Majs 18. maj,2015-05-18 15:05:24.073,,False,False,False
28,28,vaarbyg 19/05/2015,2015-05-19 21:50:25.543,,False,False,False
29,29,vaarbyg 20/05/2015,2015-05-20 22:27:22.713,,False,False,False
30,30,vaarbyg 20/05/2015,2015-05-20 22:31:44.620,,False,False,False
31,31,vaarbyg 20/05/2015,2015-05-20 22:33:06.310,,False,False,False
